HANDLE,Lon,Lat,Rating,SITEADDR,LANDUSE1,ASRUSE1,BDG1YEAR,BDG1EXWALL,MatchLevel
14462050130,-90.24288973,38.66952053,Negligible to Slight,4558 ASHLAND AV,1110,1110,1957,31,7
14462050140,-90.24276195,38.66946331,Moderate,4554 ASHLAND AV,1110,1110,1957,31,7
14462050150,-90.24262945,38.66941826,Moderate,4550 ASHLAND AV,1110,1110,1957,31,8
14462050160,-90.24250739,38.66935776,Moderate,4546 ASHLAND AV,1110,1110,1957,31,8
14462050190,-90.2422126,38.66923652,Substantial to Heavy,4536 ASHLAND AV,1110,1010,0,0,8
14462050200,-90.2420831,38.66920275,Substantial to Heavy,4534 ASHLAND AV,1110,1110,1914,31,9
14462050220,-90.24196986,38.66912714,Very Heavy,4528 ASHLAND AV,1110,1110,1914,31,7
14462050230,-90.24188832,38.6691044,Substantial to Heavy,4524 ASHLAND AV,1110,1110,1914,31,9
14462050240,-90.24176035,38.66904744,Substantial to Heavy,4520 ASHLAND AV,1110,1110,1913,31,8
14462050250,-90.241671,38.66901484,Moderate,4516 ASHLAND AV,1110,1110,1957,31,9
14462050460,-90.24258381,38.66899739,Negligible to Slight,4545 ELMBANK AV,1110,1110,1957,31,11
14462050440,-90.24245926,38.66875181,Moderate,4531-3 ELMBANK AV,1140,1140,1928,31,5
14462050430,-90.24230583,38.66870903,Substantial to Heavy,4527-9 ELMBANK AV,1140,1140,1927,31,2
14462050420,-90.24219489,38.66863684,Very Heavy,4525 ELMBANK AV,1120,1120,1927,31,4
14469050210,-90.23963159,38.66575489,Destruction,3021 N NEWSTEAD AV,1110,1110,1897,31,2
14462050410,-90.24209646,38.66859188,Moderate,4521 ELMBANK AV,1120,1120,1927,31,4
14462050400,-90.24202914,38.66854199,Substantial to Heavy,4519 ELMBANK AV,1110,1110,1923,31,3
14462050390,-90.241963,38.66849926,Substantial to Heavy,4517 ELMBANK AV,1110,1110,1923,31,5
14462050380,-90.24190152,38.66847866,Moderate,4515 ELMBANK AV,1110,1110,1923,31,5
14462050260,-90.24154853,38.66895905,Destruction,4512 ASHLAND AV,1110,1110,1931,31,8
13619000580,-90.23849518,38.66533499,Very Heavy,3025 VINE GROVE AV,1010,1010,0,0,10
13620000040,-90.23834754,38.66491872,Negligible to Slight,3008 VINE GROVE AV,1010,1010,0,0,11
13620000020,-90.2384655,38.66480499,Negligible to Slight,3004 VINE GROVE AV,1110,1110,1892,31,12
13620000010,-90.23851152,38.66473342,Negligible to Slight,3000 VINE GROVE AV,1110,1010,0,0,11
13620000520,-90.23821953,38.6645964,Substantial to Heavy,4327 LABADIE AV,1110,1110,1920,31,12
13620000520,-90.23814357,38.6645725,Very Heavy,4327 LABADIE AV,1110,1110,1920,31,11
14462050280,-90.24125123,38.66881966,Negligible to Slight,3225 N TAYLOR AV,1110,1110,1914,31,6
14462050270,-90.24118729,38.66890916,Negligible to Slight,3227 N TAYLOR AV,1110,1110,1914,31,8
13620000070,-90.23809727,38.66523404,Very Heavy,3022 VINE GROVE AV,1010,1010,0,0,16
14462050300,-90.2413602,38.66866073,Negligible to Slight,3221 N TAYLOR AV,1110,1110,1914,31,7
14462050300,-90.24132928,38.66871619,Negligible to Slight,3221 N TAYLOR AV,1110,1110,1914,31,7
14462050310,-90.24140296,38.66859835,Moderate,3219 N TAYLOR AV,1110,1110,1914,31,7
14462050320,-90.24145003,38.66852907,Moderate,3217 N TAYLOR AV,1110,1110,1914,31,8
14465000530,-90.23759855,38.66435269,Very Heavy,4307 LABADIE AV,1110,1110,1909,31,11
14462050330,-90.24150285,38.66847196,Moderate,3211 N TAYLOR AV,1110,1110,1914,31,7
14462050340,-90.24153859,38.66840472,Negligible to Slight,3209 N TAYLOR AV,1110,1110,1914,31,7
14462050350,-90.24159446,38.66834147,Moderate,3207 N TAYLOR AV,1110,1110,1914,31,7
13762060050,-90.25811762,38.65151588,Negligible to Slight,4709-17 DELMAR BLVD,6370,6370,1925,42,6
14468140120,-90.23622374,38.6637464,Negligible to Slight,4221 W LABADIE AV,1110,1110,1910,31,11
14462050360,-90.24163961,38.66827953,Substantial to Heavy,3203 N TAYLOR AV,1110,1110,1914,31,7
13762060060,-90.25872153,38.6515765,Negligible to Slight,4731-5 DELMAR BLVD,6370,6370,1922,43,6
14468140130,-90.23628464,38.66378967,Negligible to Slight,4223 W LABADIE AV,1110,1110,1909,31,11
14468140140,-90.23634289,38.6638027,Moderate,4227 W LABADIE AV,1110,1110,1910,31,9
14468140150,-90.23644365,38.66383639,Very Heavy,4229 W LABADIE AV,1110,1110,1910,31,11
13621000010,-90.2365095,38.66432303,Very Heavy,3018 MARNICE PL,1110,1110,1929,31,5
14462060340,-90.24327774,38.66805295,Destruction,4539 GREER AV,1110,1110,1911,31,4
14462060140,-90.2429325,38.66847915,Negligible to Slight,4540 ELMBANK AV,1110,1110,1935,31,9
14462060150,-90.24281399,38.66842433,Negligible to Slight,4538 ELMBANK AV,1110,1110,1928,31,9
14462060160,-90.24272156,38.6683743,Negligible to Slight,4532 ELMBANK AV,1110,1110,1926,31,8
14462060170,-90.24261517,38.66832871,Moderate,4528 ELMBANK AV,1110,1110,1926,31,8
14462060180,-90.24249723,38.66828732,Moderate,4524 ELMBANK AV,1110,1110,1925,31,10
14462060190,-90.24237897,38.66823741,Moderate,4520 ELMBANK AV,1110,1110,1935,31,10
14462060120,-90.2431072,38.66854263,Negligible to Slight,4544 ELMBANK AV,1110,1110,1955,31,8
14462060110,-90.24322752,38.66859989,Negligible to Slight,4548 ELMBANK AV,1110,1110,1955,31,9
14462060100,-90.24336012,38.66865183,Negligible to Slight,4552 ELMBANK AV,1110,1110,1955,31,8
14465000041,-90.23696949,38.6649072,Negligible to Slight,3030 CLARENCE AV,1110,1110,1961,31,6
14465000020,-90.2370839,38.66471631,Negligible to Slight,3022 CLARENCE AV,1110,1110,1972,31,4
14462060090,-90.243494,38.66870886,Negligible to Slight,4556 ELMBANK AV,1110,1110,1955,31,9
14465000080,-90.23673222,38.66516263,Negligible to Slight,3044 CLARENCE AV,1110,1110,1948,31,3
13620000420,-90.23710046,38.66535855,Negligible to Slight,3043 CLARENCE AV,1110,1110,1960,31,4
13618000290,-90.23967161,38.66642615,Negligible to Slight,4417 GREER AV,1110,1110,1900,31,6
13618000320,-90.24004398,38.66659026,Negligible to Slight,4429 GREER AV,1120,1110,1894,31,8
13618000400,-90.24050795,38.66681281,Very Heavy,4447 GREER AV,1110,1010,0,0,5
13618000420,-90.24065199,38.66688593,Substantial to Heavy,4451 GREER AV,1010,1010,0,0,5
13618000440,-90.24084628,38.66693972,Very Heavy,4459 GREER AV,1110,1110,1897,31,8
13618000450,-90.24096824,38.66700671,Substantial to Heavy,4463 GREER AV,1110,1110,1897,31,6
13618000460,-90.24105822,38.66703496,Very Heavy,4465 GREER AV,1110,1110,1894,31,8
13618000460,-90.24109499,38.66707733,Negligible to Slight,4465 GREER AV,1110,1110,1894,31,3
14463000480,-90.24112038,38.66826339,Negligible to Slight,3208 N TAYLOR AV,1110,1110,1923,31,12
14463000470,-90.2411705,38.66819351,Negligible to Slight,3204 N TAYLOR AV,1110,1110,1923,31,12
14463000460,-90.2412196,38.66810852,Negligible to Slight,3202 N TAYLOR AV,1110,1110,1923,31,12
14463000500,-90.24098063,38.6684047,Negligible to Slight,3214 N TAYLOR AV,1110,1110,1928,31,11
14463000490,-90.24105494,38.6683387,Negligible to Slight,3210 N TAYLOR AV,1110,1110,1928,31,12
14463000510,-90.24095552,38.66848403,Negligible to Slight,3216 N TAYLOR AV,1110,1110,1928,31,12
14463000540,-90.24082816,38.66868952,Negligible to Slight,3224 N TAYLOR AV,1110,1110,1926,31,14
14463000530,-90.24086558,38.66855219,Moderate,3218-20 N TAYLOR AV,1140,1140,1925,31,11
14462060380,-90.24380195,38.66824553,Negligible to Slight,4557 GREER AV,1110,1110,1955,31,4
14463000040,-90.24008859,38.6683145,Moderate,4460 ASHLAND AV,1110,1110,1902,31,8
14462060390,-90.24393549,38.66829506,Moderate,4561 GREER AV,1110,1110,1955,31,4
14463000030,-90.24014153,38.66838519,Moderate,4462 ASHLAND AV,1110,1110,1902,31,10
14462060400,-90.24406447,38.66834676,Destruction,4601-3 GREER AV,1140,1140,1912,31,4
14463000010,-90.24033329,38.66841901,Moderate,4470 ASHLAND AV,1110,1010,0,0,8
14462060070,-90.24372349,38.6688567,Substantial to Heavy,4600 ELMBANK AV,1120,1120,1929,31,2
14463000050,-90.23993248,38.66826416,Moderate,4456-8 ASHLAND AV,1140,1140,1926,31,8
14463000080,-90.23976115,38.6681704,Moderate,4448-50 ASHLAND AV,1140,1140,1926,31,8
14462060060,-90.24389878,38.66891818,Very Heavy,4608 ELMBANK AV,1110,1110,1925,31,1
14463000430,-90.24051121,38.66791448,Moderate,4465 ELMBANK AV,1110,1110,1902,31,3
14462060050,-90.2440598,38.66898307,Moderate,4614 ELMBANK AV,1110,1110,1924,31,2
14463000440,-90.24055978,38.66795065,Moderate,4467 ELMBANK AV,1120,1120,1902,31,3
14462060040,-90.24420212,38.66907432,Moderate,4618 ELMBANK AV,1110,1110,1921,31,4
14463000450,-90.24066277,38.66796666,Negligible to Slight,4471-3 ELMBANK AV,1140,1140,1896,31,5
14463000450,-90.24072977,38.66801851,Moderate,4471-3 ELMBANK AV,1140,1140,1896,31,7
14462060430,-90.24434979,38.66846936,Substantial to Heavy,4615 GREER AV,1110,1110,1893,32,7
14463000420,-90.2404144,38.66784783,Moderate,4463 ELMBANK AV,1120,1120,1902,31,6
14463000400,-90.24025905,38.66779874,Moderate,4457-9 ELMBANK AV,1140,1140,1926,31,4
14463000390,-90.24019111,38.66776695,Moderate,4453-5 ELMBANK AV,1120,1120,1926,31,7
14463000380,-90.24002777,38.66771189,Substantial to Heavy,4449-51 ELMBANK AV,1140,1140,1926,31,3
14462060430,-90.24436202,38.6686386,Moderate,4615 GREER AV,1110,1110,1893,32,11
14463000370,-90.2399129,38.66764749,Moderate,4445-7 ELMBANK AV,1140,1140,1926,31,4
